Date,Transaction_ID,Product_Name,Category,Quantity,Unit_Price,Gross_Revenue,Discount_Applied,Net_Revenue,Net_Profit
2026-03-26,TXN-990617,Workstation Pro Setup,Electronics,1,850,850,78.99,771.01,362.40999999999997
2026-01-10,TXN-647577,Cybersecurity Firewall V4,Software,4,600,2400,32.62,2367.38,1243.0600000000002
2026-05-27,TXN-497827,Cloud Workspace Pro,SaaS,36,45,1620,208.13,1411.87,661.1199999999999
2026-01-16,TXN-249143,Cloud Workspace Pro,SaaS,32,45,1440,126.53,1313.47,541.09
2026-05-20,TXN-987474,Cloud Workspace Pro,SaaS,39,45,1755,169.35,1585.65,806.0600000000001
2026-06-20,TXN-431593,Cybersecurity Firewall V4,Software,12,600,7200,833.98,6366.02,2595.8200000000006
2026-02-12,TXN-767521,Workstation Pro Setup,Electronics,13,850,11050,153.29,10896.71,6318.399999999999
2026-02-04,TXN-437497,Enterprise Server Suite,Electronics,10,1200,12000,956.93,11043.07,4759.84
2026-06-11,TXN-924945,AI Analytics API Token,SaaS,45,250,11250,558.04,10691.96,4933.499999999999
2026-08-25,TXN-320156,AI Analytics API Token,SaaS,33,250,8250,32.33,8217.67,4243.6900000000005
2026-06-13,TXN-214352,Cloud Workspace Pro,SaaS,41,45,1845,207.73,1637.27,718.16
2026-04-09,TXN-844086,Workstation Pro Setup,Electronics,2,850,1700,85.01,1614.99,781.48
2026-07-09,TXN-737144,Cybersecurity Firewall V4,Software,12,600,7200,926.63,6273.37,2821.92
2026-04-09,TXN-278031,Enterprise Server Suite,Electronics,14,1200,16800,3790.72,13009.28,6490.97
2026-08-05,TXN-295004,Cybersecurity Firewall V4,Software,11,600,6600,197.97,6402.03,3772.74
2026-08-21,TXN-151934,AI Analytics API Token,SaaS,16,250,4000,141.96,3858.04,1576.5500000000002
2026-05-08,TXN-750308,Workstation Pro Setup,Electronics,3,850,2550,251.44,2298.56,1340.85
2026-04-09,TXN-742612,Workstation Pro Setup,Electronics,9,850,7650,847.17,6802.83,3792.27
2026-05-31,TXN-897606,Enterprise Server Suite,Electronics,7,1200,8400,191.53,8208.47,4113.4
2026-05-22,TXN-189930,Cloud Workspace Pro,SaaS,9,45,405,44.77,360.23,176.81000000000003
2026-05-26,TXN-308124,Workstation Pro Setup,Electronics,9,850,7650,1165.11,6484.89,3089.1200000000003
2026-08-18,TXN-905497,Cybersecurity Firewall V4,Software,8,600,4800,104.78,4695.22,2045.3700000000003
2026-07-13,TXN-113807,Cybersecurity Firewall V4,Software,13,600,7800,198.52,7601.48,3060.8999999999996
2026-04-19,TXN-792440,Enterprise Server Suite,Electronics,6,1200,7200,1463.04,5736.96,2355.31
2026-02-14,TXN-303196,Workstation Pro Setup,Electronics,4,850,3400,255.86,3144.14,1833.9799999999998
2026-04-18,TXN-930914,AI Analytics API Token,SaaS,14,250,3500,317.22,3182.7799999999997,1838.8799999999997
2026-06-22,TXN-811131,Cybersecurity Firewall V4,Software,2,600,1200,168.72,1031.28,607.16
2026-07-19,TXN-966651,Cybersecurity Firewall V4,Software,9,600,5400,1205.62,4194.38,1945.3200000000002
2026-07-09,TXN-989765,Enterprise Server Suite,Electronics,12,1200,14400,1028.56,13371.44,5699.9800000000005
2026-04-27,TXN-858574,Cloud Workspace Pro,SaaS,48,45,2160,316.84,1843.16,900.9300000000001
2026-05-29,TXN-523570,Cybersecurity Firewall V4,Software,11,600,6600,1819.85,4780.15,2626.22
2026-01-20,TXN-359214,Enterprise Server Suite,Electronics,2,1200,2400,99.73,2300.27,1280.42
2026-06-08,TXN-272502,Enterprise Server Suite,Electronics,5,1200,6000,1045.39,4954.61,2592.0499999999997
2026-07-04,TXN-488043,AI Analytics API Token,SaaS,16,250,4000,383.48,3616.52,2128.06
2026-06-01,TXN-423673,Workstation Pro Setup,Electronics,5,850,4250,235.77,4014.23,2257.51
2026-05-16,TXN-644447,Cloud Workspace Pro,SaaS,32,45,1440,16.79,1423.21,576.57
2026-06-04,TXN-790907,Enterprise Server Suite,Electronics,9,1200,10800,835.72,9964.28,4356.790000000001
2026-08-28,TXN-498929,Cybersecurity Firewall V4,Software,13,600,7800,2131.57,5668.43,2468.5600000000004
2026-04-25,TXN-517009,Cybersecurity Firewall V4,Software,9,600,5400,677.55,4722.45,1952.52
2026-04-19,TXN-724785,Cybersecurity Firewall V4,Software,7,600,4200,518.18,3681.82,1636.4900000000002
2026-08-12,TXN-906741,Enterprise Server Suite,Electronics,11,1200,13200,1960.63,11239.369999999999,5887.429999999999
2026-02-28,TXN-370846,AI Analytics API Token,SaaS,17,250,4250,26.99,4223.01,2502.71
2026-05-09,TXN-984574,Cybersecurity Firewall V4,Software,7,600,4200,1089.55,3110.45,1360.5699999999997
2026-05-13,TXN-263273,AI Analytics API Token,SaaS,27,250,6750,519.07,6230.93,2561.2000000000003
2026-03-24,TXN-931538,Enterprise Server Suite,Electronics,5,1200,6000,675.82,5324.18,3056.9700000000003
2026-06-22,TXN-994751,Cybersecurity Firewall V4,Software,4,600,2400,164.62,2235.38,1040.93
2026-02-03,TXN-686165,Workstation Pro Setup,Electronics,8,850,6800,30.17,6769.83,3387.4
2026-04-28,TXN-225917,AI Analytics API Token,SaaS,16,250,4000,326.55,3673.45,1492.9099999999999
2026-08-10,TXN-144238,AI Analytics API Token,SaaS,21,250,5250,70.36,5179.64,3077.9700000000003
2026-08-17,TXN-705605,Cybersecurity Firewall V4,Software,14,600,8400,1774.28,6625.72,3693.2200000000003
2026-07-11,TXN-762301,Workstation Pro Setup,Electronics,2,850,1700,119.2,1580.8,761.9699999999999
2026-03-20,TXN-983671,AI Analytics API Token,SaaS,38,250,9500,330.84,9169.16,4558.93
2026-03-20,TXN-347940,Workstation Pro Setup,Electronics,14,850,11900,1480.57,10419.43,4454.59
2026-01-29,TXN-906395,Workstation Pro Setup,Electronics,10,850,8500,1575.2,6924.8,3473.32
2026-03-25,TXN-728861,Cybersecurity Firewall V4,Software,2,600,1200,223.49,976.51,518.06
2026-08-23,TXN-598870,AI Analytics API Token,SaaS,15,250,3750,28.45,3721.55,2137.0
2026-03-21,TXN-994647,AI Analytics API Token,SaaS,20,250,5000,320.44,4679.56,2637.51
2026-01-25,TXN-962129,AI Analytics API Token,SaaS,36,250,9000,426.57,8573.43,3999.41
2026-03-02,TXN-989513,Cloud Workspace Pro,SaaS,23,45,1035,127.58,907.42,481.83
2026-03-02,TXN-249849,Cybersecurity Firewall V4,Software,6,600,3600,130.29,3469.71,1762.07
2026-02-15,TXN-123321,Cloud Workspace Pro,SaaS,18,45,810,40.11,769.89,412.41999999999996
2026-02-16,TXN-480975,Enterprise Server Suite,Electronics,6,1200,7200,147.17,7052.83,2999.46
2026-03-02,TXN-572930,Enterprise Server Suite,Electronics,10,1200,12000,2604.9,9395.1,5478.25
2026-06-29,TXN-772108,Cloud Workspace Pro,SaaS,32,45,1440,79.69,1360.31,690.3499999999999
2026-06-03,TXN-548874,AI Analytics API Token,SaaS,11,250,2750,188.97,2561.03,1104.0900000000001
2026-08-27,TXN-921106,Workstation Pro Setup,Electronics,13,850,11050,1916.55,9133.45,4833.150000000001
2026-01-15,TXN-347736,Enterprise Server Suite,Electronics,7,1200,8400,792.3,7607.7,4534.08
2026-01-17,TXN-499384,Cloud Workspace Pro,SaaS,48,45,2160,75.56,2084.44,1107.7
2026-03-09,TXN-126069,Cloud Workspace Pro,SaaS,7,45,315,30.66,284.34,143.32999999999998
2026-02-03,TXN-294053,Enterprise Server Suite,Electronics,12,1200,14400,459.29,13940.71,7573.219999999999
2026-06-29,TXN-212581,Cloud Workspace Pro,SaaS,38,45,1710,62.68,1647.32,824.2399999999999
2026-08-17,TXN-625893,Enterprise Server Suite,Electronics,1,1200,1200,2.26,1197.74,664.67
2026-04-22,TXN-244990,Workstation Pro Setup,Electronics,14,850,11900,444.03,11455.97,6220.369999999999
2026-06-01,TXN-890756,Enterprise Server Suite,Electronics,7,1200,8400,108.43,8291.57,4944.69
2026-02-05,TXN-862501,Cloud Workspace Pro,SaaS,24,45,1080,157.05,922.95,394.01
2026-04-28,TXN-859224,Enterprise Server Suite,Electronics,14,1200,16800,717.73,16082.27,7498.700000000001
2026-07-13,TXN-237541,AI Analytics API Token,SaaS,12,250,3000,142.99,2857.01,1235.0400000000002
2026-06-03,TXN-335659,Workstation Pro Setup,Electronics,3,850,2550,101.75,2448.25,1108.45
2026-02-16,TXN-101917,Enterprise Server Suite,Electronics,10,1200,12000,2303.34,9696.66,5648.71
2026-05-19,TXN-866641,Workstation Pro Setup,Electronics,13,850,11050,1177.02,9872.98,5821.459999999999
2026-01-10,TXN-105287,Cybersecurity Firewall V4,Software,7,600,4200,691.64,3508.36,1963.47
2026-05-10,TXN-872042,Workstation Pro Setup,Electronics,1,850,850,23.6,826.4,495.39
2026-05-23,TXN-636507,AI Analytics API Token,SaaS,34,250,8500,90.69,8409.31,3614.7799999999997
2026-08-24,TXN-820801,Cloud Workspace Pro,SaaS,18,45,810,113.35,696.65,279.91999999999996
2026-03-17,TXN-237023,AI Analytics API Token,SaaS,39,250,9750,903.29,8846.71,4031.2699999999995
2026-04-03,TXN-879554,AI Analytics API Token,SaaS,45,250,11250,844.31,10405.69,4579.47
2026-08-01,TXN-749789,Cybersecurity Firewall V4,Software,5,600,3000,212.12,2787.88,1319.3600000000001
2026-05-12,TXN-290279,Enterprise Server Suite,Electronics,13,1200,15600,2294.4,13305.6,6165.860000000001
2026-02-08,TXN-502400,AI Analytics API Token,SaaS,42,250,10500,566.77,9933.23,5088.3099999999995
2026-06-02,TXN-192263,Enterprise Server Suite,Electronics,1,1200,1200,117.44,1082.56,534.38
2026-06-28,TXN-910951,AI Analytics API Token,SaaS,10,250,2500,234.96,2265.04,1074.67
2026-02-11,TXN-756282,Workstation Pro Setup,Electronics,13,850,11050,1094.89,9955.11,4496.8
2026-06-13,TXN-132154,Cybersecurity Firewall V4,Software,6,600,3600,812.6,2787.4,1278.3100000000002
2026-07-02,TXN-465060,Enterprise Server Suite,Electronics,14,1200,16800,859.09,15940.91,7287.98
2026-05-03,TXN-784846,Cloud Workspace Pro,SaaS,37,45,1665,25.7,1639.3,807.6899999999999
2026-08-16,TXN-382247,Cybersecurity Firewall V4,Software,8,600,4800,869.7,3930.3,1963.3500000000001
2026-01-05,TXN-247550,Cybersecurity Firewall V4,Software,4,600,2400,520.02,1879.98,857.26
2026-04-25,TXN-695603,AI Analytics API Token,SaaS,40,250,10000,542.72,9457.28,5198.1
2026-01-11,TXN-494030,Cloud Workspace Pro,SaaS,44,45,1980,173.27,1806.73,939.19
2026-03-31,TXN-996209,AI Analytics API Token,SaaS,16,250,4000,364.74,3635.26,2080.01
2026-08-05,TXN-923651,Enterprise Server Suite,Electronics,8,1200,9600,2093.1,7506.9,3104.6799999999994
2026-08-28,TXN-938761,Workstation Pro Setup,Electronics,5,850,4250,784.12,3465.88,1589.2900000000002
2026-04-02,TXN-275399,Cloud Workspace Pro,SaaS,13,45,585,37.22,547.78,247.98999999999995
2026-02-10,TXN-232717,AI Analytics API Token,SaaS,27,250,6750,82.9,6667.1,3685.7000000000003
2026-06-13,TXN-430388,Enterprise Server Suite,Electronics,1,1200,1200,260.97,939.03,465.97999999999996
2026-06-24,TXN-984377,Enterprise Server Suite,Electronics,5,1200,6000,502.8,5497.2,2415.6299999999997
2026-06-18,TXN-632358,AI Analytics API Token,SaaS,29,250,7250,626.05,6623.95,2751.64
2026-07-29,TXN-666202,AI Analytics API Token,SaaS,38,250,9500,872.53,8627.47,4163.499999999999
2026-04-18,TXN-906388,AI Analytics API Token,SaaS,28,250,7000,404.34,6595.66,3739.06
2026-03-29,TXN-643385,Enterprise Server Suite,Electronics,1,1200,1200,234.15,965.85,525.8900000000001
2026-06-05,TXN-119816,Cloud Workspace Pro,SaaS,25,45,1125,86.94,1038.06,420.29999999999995
2026-06-26,TXN-687111,Workstation Pro Setup,Electronics,6,850,5100,877.84,4222.16,2081.47
2026-02-18,TXN-551282,Enterprise Server Suite,Electronics,13,1200,15600,1549.54,14050.46,7230.959999999999
2026-03-03,TXN-717895,Cybersecurity Firewall V4,Software,1,600,600,6.58,593.42,300.03
2026-01-19,TXN-237717,Cloud Workspace Pro,SaaS,5,45,225,26.17,198.82999999999998,101.26999999999998
2026-08-08,TXN-951587,Enterprise Server Suite,Electronics,2,1200,2400,298.21,2101.79,939.3499999999999
2026-05-09,TXN-962061,Cybersecurity Firewall V4,Software,7,600,4200,1192.11,3007.8900000000003,1580.1600000000003
2026-06-11,TXN-752465,Workstation Pro Setup,Electronics,1,850,850,4.32,845.68,480.99999999999994
2026-05-15,TXN-605815,Cybersecurity Firewall V4,Software,8,600,4800,39.02,4760.98,2645.2299999999996
2026-08-03,TXN-434402,AI Analytics API Token,SaaS,12,250,3000,31.23,2968.77,1306.31
2026-02-20,TXN-134911,Enterprise Server Suite,Electronics,12,1200,14400,857.46,13542.54,7856.1900000000005
2026-03-29,TXN-745588,AI Analytics API Token,SaaS,20,250,5000,198.59,4801.41,2239.2999999999997
2026-05-22,TXN-808754,Cloud Workspace Pro,SaaS,11,45,495,47.02,447.98,202.85000000000002
2026-04-22,TXN-501921,Cybersecurity Firewall V4,Software,3,600,1800,314.84,1485.16,765.9200000000001
2026-05-09,TXN-194914,Cybersecurity Firewall V4,Software,4,600,2400,241.82,2158.18,938.7599999999998
2026-08-03,TXN-294269,Workstation Pro Setup,Electronics,4,850,3400,424.42,2975.58,1541.6999999999998
2026-05-17,TXN-356713,Cloud Workspace Pro,SaaS,48,45,2160,71.12,2088.88,846.19
2026-06-07,TXN-135954,AI Analytics API Token,SaaS,27,250,6750,539.9,6210.1,3197.9400000000005
2026-07-28,TXN-123752,Enterprise Server Suite,Electronics,8,1200,9600,1677.23,7922.77,4115.800000000001
2026-01-22,TXN-356609,AI Analytics API Token,SaaS,8,250,2000,26.46,1973.54,828.6599999999999
2026-08-03,TXN-585417,Cybersecurity Firewall V4,Software,11,600,6600,1628.72,4971.28,2456.1499999999996
2026-04-10,TXN-746117,Enterprise Server Suite,Electronics,6,1200,7200,120.92,7079.08,3673.69
2026-05-02,TXN-151226,Workstation Pro Setup,Electronics,7,850,5950,126.83,5823.17,3330.83
2026-02-26,TXN-672212,AI Analytics API Token,SaaS,44,250,11000,275.8,10724.2,5076.630000000001
2026-07-18,TXN-784733,Cloud Workspace Pro,SaaS,49,45,2205,277.2,1927.8,1000.77
2026-05-02,TXN-677564,Cloud Workspace Pro,SaaS,47,45,2115,58.49,2056.51,1196.7500000000002
2026-05-29,TXN-517978,AI Analytics API Token,SaaS,44,250,11000,480.91,10519.09,4385.38
2026-02-08,TXN-745188,AI Analytics API Token,SaaS,38,250,9500,376.82,9123.18,3733.05
2026-02-25,TXN-560514,Enterprise Server Suite,Electronics,10,1200,12000,93.55,11906.45,6519.340000000001
2026-08-23,TXN-278376,Enterprise Server Suite,Electronics,14,1200,16800,4011.99,12788.01,7277.22
2026-06-03,TXN-658296,Cloud Workspace Pro,SaaS,13,45,585,6.59,578.41,262.80999999999995
2026-03-02,TXN-145186,AI Analytics API Token,SaaS,44,250,11000,478.31,10521.69,5794.500000000001
2026-08-17,TXN-385195,Workstation Pro Setup,Electronics,12,850,10200,1974.11,8225.89,4926.889999999999
2026-01-19,TXN-280553,Cybersecurity Firewall V4,Software,12,600,7200,1744.05,5455.95,2223.74
2026-02-26,TXN-302503,Enterprise Server Suite,Electronics,12,1200,14400,1950.84,12449.16,5296.01
2026-08-11,TXN-420197,Cybersecurity Firewall V4,Software,1,600,600,118.58,481.42,222.2
2026-07-19,TXN-611897,Enterprise Server Suite,Electronics,2,1200,2400,293.65,2106.35,1170.62
2026-08-21,TXN-956774,Cybersecurity Firewall V4,Software,10,600,6000,70.97,5929.03,2720.74
2026-05-25,TXN-792558,Cloud Workspace Pro,SaaS,25,45,1125,79.85,1045.15,561.69
2026-04-27,TXN-850294,Enterprise Server Suite,Electronics,3,1200,3600,831.96,2768.04,1123.24
2026-08-09,TXN-137265,Cloud Workspace Pro,SaaS,35,45,1575,203.66,1371.34,591.17
2026-07-06,TXN-221826,Cloud Workspace Pro,SaaS,43,45,1935,10.74,1924.26,925.08
2026-04-18,TXN-234055,Workstation Pro Setup,Electronics,13,850,11050,170.07,10879.93,5012.84
2026-08-06,TXN-941052,Workstation Pro Setup,Electronics,7,850,5950,375.2,5574.8,2743.3700000000003
2026-08-02,TXN-703561,Enterprise Server Suite,Electronics,13,1200,15600,2440.98,13159.02,5563.6900000000005
2026-04-18,TXN-915862,Cloud Workspace Pro,SaaS,39,45,1755,229.05,1525.95,909.08
2026-01-13,TXN-664262,Cybersecurity Firewall V4,Software,2,600,1200,338.06,861.94,379.46000000000004
2026-02-15,TXN-698260,Workstation Pro Setup,Electronics,13,850,11050,1695.49,9354.51,4860.7300000000005
2026-08-24,TXN-729661,Enterprise Server Suite,Electronics,8,1200,9600,652.05,8947.95,4656.000000000001
2026-06-02,TXN-209996,Workstation Pro Setup,Electronics,5,850,4250,622.43,3627.57,2174.11
2026-05-22,TXN-813135,Cloud Workspace Pro,SaaS,8,45,360,38.64,321.36,154.95000000000002
2026-07-12,TXN-222744,Cybersecurity Firewall V4,Software,14,600,8400,113.65,8286.35,4790.39
2026-03-29,TXN-931460,Workstation Pro Setup,Electronics,12,850,10200,1951.09,8248.91,3632.84
2026-06-20,TXN-599722,Workstation Pro Setup,Electronics,6,850,5100,1001.98,4098.02,1734.1200000000003
2026-03-03,TXN-550195,Cybersecurity Firewall V4,Software,2,600,1200,60.13,1139.87,457.9599999999999
2026-04-03,TXN-161665,Cybersecurity Firewall V4,Software,3,600,1800,276.85,1523.15,843.6200000000001
2026-02-26,TXN-218533,Cloud Workspace Pro,SaaS,45,45,2025,56.63,1968.37,874.1199999999999
2026-01-05,TXN-176898,Cybersecurity Firewall V4,Software,6,600,3600,1046.63,2553.37,1080.6999999999998
2026-01-20,TXN-474999,Cloud Workspace Pro,SaaS,46,45,2070,159.98,1910.02,958.38
2026-01-03,TXN-946936,AI Analytics API Token,SaaS,42,250,10500,654.08,9845.92,4434.86
2026-03-14,TXN-342615,Workstation Pro Setup,Electronics,14,850,11900,2047.1,9852.9,5010.33
2026-03-08,TXN-713089,AI Analytics API Token,SaaS,32,250,8000,381.34,7618.66,4503.58
2026-03-17,TXN-551978,Cloud Workspace Pro,SaaS,13,45,585,28.87,556.13,230.06
2026-07-06,TXN-777114,Cloud Workspace Pro,SaaS,28,45,1260,47.75,1212.25,726.12
2026-05-13,TXN-758380,Cloud Workspace Pro,SaaS,22,45,990,12.04,977.96,543.71
2026-01-28,TXN-606079,Cybersecurity Firewall V4,Software,13,600,7800,1991.82,5808.18,2909.7300000000005
2026-03-03,TXN-261633,Cybersecurity Firewall V4,Software,3,600,1800,445.33,1354.67,718.57
2026-02-09,TXN-369458,AI Analytics API Token,SaaS,17,250,4250,113.49,4136.51,1755.0100000000002
2026-03-21,TXN-205228,Workstation Pro Setup,Electronics,1,850,850,26.75,823.25,467.54
2026-04-17,TXN-169274,Cybersecurity Firewall V4,Software,9,600,5400,1506.75,3893.25,2253.54
2026-06-15,TXN-692632,Workstation Pro Setup,Electronics,7,850,5950,1049.15,4900.85,1998.2600000000002
2026-01-31,TXN-142534,Cloud Workspace Pro,SaaS,14,45,630,77.48,552.52,306.25
2026-06-08,TXN-715947,Cloud Workspace Pro,SaaS,40,45,1800,150.17,1649.83,740.2299999999999
2026-02-08,TXN-228232,Cloud Workspace Pro,SaaS,36,45,1620,20.44,1599.56,855.31
2026-01-17,TXN-700530,Cloud Workspace Pro,SaaS,28,45,1260,154.73,1105.27,634.77
2026-06-07,TXN-329947,Cloud Workspace Pro,SaaS,45,45,2025,292.51,1732.49,921.04
2026-03-20,TXN-538755,Cybersecurity Firewall V4,Software,13,600,7800,1845.81,5954.1900000000005,3365.6000000000004
